STATEFIP_1940,COUNTYICP_1940,ENUMDIST,CITY_1940,SEX_1940,MARST_1940,BIRTHYR_1940,RACE_1940,LABFORCE_1940,INCWAGE_1940,OCC1950_1940,EDUC_1940,CITIZEN_1940,NATIVITY_1940,NATIVITY_MOM_1940,NATIVITY_POP_1940,step_1940,STATEFIP_1950,COUNTYICP_1950,CITY_1950,SEX_1950,MARST_1950,BIRTHYR_1950,RACE_1950,LABFORCE_1950,INCWAGE_1950,INCTOT,OCC1950_1950,EDUC_1950,CITIZEN_1950,NATIVITY_1950,NATIVITY_MOM_1950,NATIVITY_POP_1950,step_1950
6,10,101830,0,2,5,1880,5,2,0,830,2,3,0,NA,NA,2,6,370,3730,2,5,1877,5,1,999999,9999999,999,0,3,0,NA,NA,2
6,10,101830,0,1,5,1877,5,1,0,999,2,3,0,NA,NA,1,6,10,0,1,5,1876,5,1,999999,9999999,999,0,3,0,NA,NA,1
6,10,101830,0,1,1,1905,5,2,0,100,2,3,5,NA,0,1,6,10,0,1,1,1905,5,2,999999,9999999,820,0,3,0,NA,0,1
6,10,101830,0,2,1,1906,5,2,0,830,2,3,0,NA,NA,2,6,10,0,2,1,1906,5,2,999999,9999999,820,0,3,0,NA,NA,2
6,10,101830,0,1,6,1915,5,2,0,830,6,0,0,NA,0,1,6,10,0,1,6,1916,5,2,999999,9999999,100,0,0,0,NA,0,1
6,10,101830,0,2,6,1930,5,0,999999,999,1,0,0,0,NA,2,6,10,0,2,6,1930,5,2,999999,9999999,820,0,0,0,0,0,2
6,10,101830,0,2,6,1932,5,0,999999,999,1,0,0,0,NA,2,6,10,0,2,6,1931,5,2,999999,9999999,520,0,0,0,0,0,2
6,10,101830,0,1,1,1891,5,2,200,100,6,3,0,NA,NA,1,6,10,0,1,1,1891,5,2,999999,9999999,820,0,0,0,NA,NA,1
6,10,101830,0,2,1,1896,5,2,150,100,6,3,0,NA,NA,2,6,10,0,2,1,1897,5,2,999999,9999999,500,0,3,0,NA,NA,2
6,10,101830,0,2,6,1926,5,1,0,999,3,0,0,0,0,2,6,10,0,2,6,1926,5,2,999999,9999999,820,0,0,0,0,0,2
6,10,101830,0,1,6,1930,5,0,999999,999,1,0,0,0,0,2,6,10,0,1,6,1930,5,2,999999,9999999,550,0,0,0,0,0,2
6,10,101830,0,1,6,1931,5,0,999999,999,1,0,0,0,0,2,6,10,0,1,6,1932,5,1,0,0,999,7,0,4,0,0,2
